n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9999999999999991,0.13999999999999999
3,1.0099999999999993,0.19595917942265434
4,1.0200000000000007,0.2374868417407583
5,1.0300000000000007,0.3370459909270544
6,1.0399999999999994,0.3605551275463989
7,1.0699999999999998,0.4004996878900156
8,1.0600000000000012,0.4004996878900158
9,1.1299999999999986,0.4599999999999999
10,1.219999999999999,0.5075431016179807
11,1.2300000000000004,0.5141984052872977
12,1.3000000000000012,0.532541078227774
13,1.3299999999999992,0.537028863283902
14,1.3599999999999997,0.5385164807134504
15,1.4100000000000004,0.5351635264103862
16,1.460000000000002,0.5249761899362677
17,1.509999999999999,0.5455272678794345
18,1.579999999999999,0.5499090833947009
19,1.5700000000000012,0.5499090833947008
20,1.5799999999999985,0.5400000000000001
21,1.5900000000000005,0.5291502622129179
22,1.6000000000000008,0.5173006862551024
23,1.69,0.44
24,1.7600000000000011,0.39999999999999997
25,1.77,0.37363083384538803
26,1.7999999999999992,0.36932370625238775
28,1.7999999999999992,0.3919183588453085
29,1.8299999999999985,0.38157568056677815
30,1.8400000000000016,0.40049968789001583
32,1.860000000000002,0.3841874542459711
33,1.9100000000000015,0.4270831300812525
35,1.930000000000001,0.4489988864128728
36,1.9200000000000004,0.44899888641287306
38,1.9800000000000009,0.5919459434779494
40,1.999999999999999,0.5999999999999998
42,1.9999999999999987,0.6029925372672533
44,2.0400000000000014,0.6079473661428265
46,2.100000000000002,0.6374950980203693
48,2.0999999999999996,0.6352952069707439
51,2.2699999999999987,0.672011904656458
53,2.309999999999999,0.7031358332498778
56,2.3999999999999986,0.6621178142898738
58,2.4200000000000013,0.6928203230275509
61,2.5300000000000002,0.7748548251124208
64,2.58,0.7291090453423277
67,2.689999999999999,0.7144228439796703
70,2.759999999999999,0.6988562083862463
74,2.760000000000001,0.7280109889280518
77,2.83,0.7211102550927978
81,2.8899999999999983,0.7280109889280516
85,2.970000000000003,0.7124605252222751
89,3.0100000000000016,0.7280109889280515
93,3.069999999999996,0.7483314773547883
97,3.2300000000000004,0.6324555320336759
100,3.3,0.6082762530298219
102,3.3199999999999985,0.5868560300448484
107,3.350000000000004,0.5688585061331157
112,3.3599999999999977,0.5741080037762929
117,3.4900000000000024,0.6514598989960932
123,3.5500000000000016,0.6095900261651267
128,3.5599999999999996,0.6437390775772435
135,3.610000000000003,0.63118935352238
141,3.690000000000002,0.6403124237432848
148,3.8200000000000016,0.6708203932499368
155,3.909999999999998,0.6988562083862457
162,3.9799999999999973,0.6928203230275513
170,4.000000000000003,0.7000000000000004
178,4.06,0.6740919818541089
186,4.059999999999995,0.6881860213634101
