n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9799999999999991,8.881784197001252e-16
3,0.9699999999999993,6.661338147750939e-16
4,0.9800000000000008,0.1400000000000001
5,1.030000000000001,0.2712931993250108
6,1.0599999999999994,0.32496153618543855
7,1.1099999999999999,0.3841874542459709
8,1.160000000000001,0.4270831300812525
9,1.2499999999999984,0.47370877129308037
10,1.3199999999999994,0.49355850717012256
11,1.3100000000000003,0.4935585071701227
12,1.4000000000000006,0.4995998398718718
13,1.4299999999999997,0.4963869458396342
14,1.4999999999999998,0.47999999999999976
15,1.55,0.5385164807134504
16,1.5800000000000016,0.5936328831862331
17,1.6099999999999985,0.575847201955519
18,1.6999999999999984,0.55281099844341
19,1.710000000000001,0.5385164807134505
20,1.7999999999999985,0.4898979485566356
21,1.8300000000000014,0.488262224629348
22,1.8800000000000008,0.4582575694955838
23,1.8699999999999994,0.45825756949558394
24,1.8800000000000014,0.4749736834815165
25,1.89,0.49030602688525066
26,1.8799999999999986,0.49030602688525027
28,1.8999999999999992,0.4770744176750622
29,1.9499999999999984,0.47159304490206366
30,1.9800000000000018,0.448998886412873
32,1.9800000000000022,0.4582575694955842
33,2.0300000000000016,0.52
35,2.0300000000000016,0.5249761899362673
36,2.0400000000000005,0.529150262212918
38,2.060000000000001,0.5351635264103859
40,2.0599999999999983,0.5370288632839023
42,2.1599999999999984,0.5688585061331154
44,2.2600000000000016,0.6082762530298221
46,2.3400000000000025,0.66332495807108
48,2.419999999999999,0.6403124237432851
51,2.5299999999999985,0.63118935352238
53,2.6099999999999994,0.6003332407921456
56,2.6799999999999984,0.5499090833947007
58,2.6600000000000006,0.5499090833947009
61,2.7499999999999996,0.6248199740725325
64,2.7600000000000007,0.6324555320336758
67,2.7499999999999996,0.6660330322138687
70,2.799999999999999,0.7000000000000002
74,2.800000000000001,0.6988562083862457
77,2.81,0.6954135460285483
81,2.8699999999999983,0.6764613810115103
85,3.010000000000003,0.6003332407921455
89,3.0300000000000016,0.5599999999999998
93,3.0699999999999967,0.5291502622129182
97,3.1700000000000004,0.4476605857119877
100,3.2,0.4472135954999581
102,3.199999999999999,0.4599999999999997
107,3.250000000000004,0.5075431016179808
112,3.3199999999999976,0.5713142742834281
117,3.350000000000002,0.5741080037762929
123,3.330000000000001,0.6053098380168624
128,3.4599999999999995,0.626418390534633
135,3.4900000000000033,0.6437390775772432
141,3.4900000000000024,0.6403124237432848
148,3.6400000000000023,0.5878775382679624
155,3.7299999999999978,0.6939740629158988
162,3.779999999999997,0.6928203230275509
170,3.900000000000003,0.7745966692414832
178,3.9999999999999996,0.756042326857432
186,3.9999999999999956,0.7213875518748571
195,4.070000000000003,0.761314652426971
200,4.06,0.7592101158440923
204,4.080000000000001,0.7386474125047758
214,4.1200000000000045,0.7952358140828415
224,4.379999999999998,0.8919641248391105
235,4.450000000000004,0.9380831519646863
246,4.579999999999998,0.893532316147547
258,4.699999999999996,0.9173875952943774
270,4.840000000000004,0.8534635317340749
283,4.869999999999995,0.9643650760992956
296,5.079999999999997,0.958331884056875
300,5.14,0.9382963284591921
310,5.160000000000004,0.9123595782365637
325,5.21,0.9840731680114035
340,5.299999999999996,0.9000000000000001
357,5.410000000000005,0.9271461589199407
373,5.5900000000000025,0.947417542586161
391,5.65,1.0229369482035537
400,5.7,1.1180339887498951
410,5.880000000000001,1.2081390648431163
429,6.169999999999999,1.314686274363584
450,6.34,1.2059850745345069
471,6.5100000000000025,1.2375782803523985
493,6.489999999999996,1.2343419299367582
500,6.48,1.2528367810692664
517,6.530000000000001,1.22065556157337
541,6.669999999999996,1.3833293172632468
567,6.830000000000001,1.3747727084867523
594,6.840000000000001,1.4041367454774483
600,6.92,1.4400000000000002
622,7.059999999999995,1.4971973817770332
651,7.210000000000004,1.4565713164826497
682,7.280000000000006,1.345362404707371
700,7.4,1.4142135623730951
714,7.420000000000009,1.387948125831797
748,7.719999999999996,1.3114877048604001
784,7.8200000000000065,1.258729518204765
800,7.78,1.2536347155371856
821,7.890000000000003,1.2688577540449522
860,7.999999999999995,1.1313708498984758
900,8.22,1.3006152390311283
901,8.210000000000006,1.300615239031128
943,8.309999999999995,1.3388054376943652
988,8.660000000000004,1.499466571818125
1000,8.8,1.4832396974191329
1035,8.889999999999992,1.4079772725438433
1084,9.12000000000001,1.599499921850576
1100,9.24,1.5173661390712527
1135,9.489999999999991,1.629232948353304
1189,9.63000000000001,1.9312172327317303
1200,9.68,1.8269099594670781
1245,9.590000000000009,1.7431006855600735
1300,9.78,1.8898677202386414
1304,9.799999999999994,1.8693314312876674
1366,10.059999999999988,1.8765926569183844
1400,10.1,1.8574175621006708
1431,10.19,1.9313207915827966
1499,10.789999999999996,1.9420607611503817
1500,10.8,1.949358868961793
1570,10.920000000000005,2.096568625158737
1600,11.08,2.0478281177872333
1644,11.219999999999995,2.0747047982785403
1700,11.22,2.3434163095788167
1722,11.359999999999987,2.298608274587038
1800,11.54,2.2645970944077445
1804,11.599999999999998,2.313093167168153
1889,11.930000000000009,2.543147655957082
1900,11.92,2.6141155291991205
1979,12.21,2.4166091947189146
2000,12.26,2.252198925494815
2072,12.639999999999985,2.5436980952935433
2100,12.62,2.440409801652173
2171,12.649999999999999,2.4228908353452487
2200,12.76,2.4129649810969074
2273,12.92999999999999,2.35465496410833
2300,12.94,2.4282503989498285
2381,13.030000000000012,2.6104405758415568
2400,13.12,2.5972292929196685
2494,13.419999999999986,2.5279240494919932
2500,13.36,2.5279240494919937
2600,13.62,2.6599999999999993
2612,13.579999999999998,2.632489316217636
2700,13.86,2.9189724219320743
2736,14.159999999999991,2.9136918162358905
2800,14.34,2.9570931672843854
2866,14.480000000000002,2.8214180831631452
2900,14.64,2.6135033958271414
3000,14.66,2.7100553499882616
3001,14.670000000000007,2.716173779418393
3100,14.88,2.761448895054913
3144,15.019999999999984,2.624576156258377
3200,15.04,2.668032983304367
