n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9799999999999991,8.881784197001252e-16
3,0.9699999999999993,6.661338147750939e-16
4,0.9600000000000007,7.771561172376096e-16
5,0.9700000000000005,0.14
6,1.0599999999999994,0.3249615361854385
7,1.0699999999999998,0.3469870314579494
8,1.0800000000000012,0.3666060555964672
9,1.0899999999999985,0.3841874542459707
10,1.139999999999999,0.42708313008125254
11,1.2100000000000004,0.4664761515876238
12,1.240000000000001,0.47999999999999987
13,1.3499999999999994,0.5381449618829485
14,1.4199999999999997,0.535163526410386
15,1.47,0.5617828762075258
16,1.560000000000002,0.5306599664568639
17,1.589999999999999,0.5122499389946281
18,1.6799999999999984,0.44766058571198786
19,1.750000000000001,0.4651881339845203
20,1.7599999999999982,0.4454211490264016
21,1.7900000000000014,0.4472135954999579
22,1.780000000000001,0.44721359549995787
23,1.79,0.4686149805543993
24,1.820000000000001,0.4651881339845203
25,1.83,0.4833218389437828
26,1.8199999999999992,0.483321838943783
28,1.939999999999999,0.5015974481593781
29,1.989999999999998,0.5306599664568639
30,2.0000000000000018,0.5000000000000001
32,2.0200000000000027,0.5141984052872978
33,2.0300000000000016,0.47999999999999987
35,2.0300000000000016,0.4853864439804637
36,2.0200000000000005,0.48538644398046393
38,2.080000000000001,0.537028863283902
40,2.1199999999999983,0.5381449618829485
42,2.139999999999999,0.5351635264103863
44,2.1800000000000015,0.5617828762075256
46,2.2200000000000024,0.5455272678794338
48,2.2399999999999993,0.5670978751503131
51,2.2499999999999987,0.5851495535331118
53,2.329999999999999,0.5660388679233963
56,2.3999999999999986,0.5642694391866353
58,2.4600000000000013,0.5986651818838306
61,2.5100000000000002,0.5528109984434103
64,2.58,0.609590026165127
67,2.589999999999999,0.6264183905346329
70,2.5999999999999983,0.6082762530298221
74,2.560000000000002,0.6082762530298218
77,2.550000000000001,0.581033561853358
81,2.569999999999999,0.5963220606350231
85,2.610000000000002,0.6069596362197408
89,2.61,0.6082762530298221
93,2.649999999999997,0.6029925372672535
97,2.7100000000000004,0.6144916598294885
100,2.76,0.7088018058667743
102,2.7400000000000007,0.7088018058667741
107,2.8300000000000036,0.7280109889280515
112,2.859999999999998,0.7068238818828916
117,2.9300000000000006,0.6708203932499369
123,2.9100000000000006,0.6327716807822551
128,2.9399999999999995,0.6720119046564577
135,2.950000000000003,0.7549834435270754
141,3.0100000000000025,0.8506468127254695
148,3.060000000000001,0.8052328855678962
155,3.1099999999999994,0.8151073548925932
162,3.179999999999998,0.8717797887081341
170,3.300000000000001,0.9380831519646858
178,3.3599999999999994,1.0394229168149023
186,3.2999999999999967,1.0461357464497614
195,3.350000000000001,1.044030650891055
200,3.44,1.0613199329137277
204,3.52,1.0983624174196784
214,3.620000000000003,1.0873821775254546
224,3.6599999999999984,1.0816653826391966
235,3.7500000000000036,1.1
246,3.799999999999999,1.073498952025571
258,3.899999999999996,1.024499877989256
270,3.9600000000000035,0.9921693403849975
283,4.009999999999996,1.1723480711802279
296,4.059999999999999,1.1399999999999997
300,4.04,1.1482160075525862
310,4.100000000000003,1.1313708498984758
325,4.13,1.1469960767151732
340,4.199999999999997,1.1999999999999997
357,4.230000000000005,1.16619037896906
373,4.270000000000003,1.1999999999999995
391,4.370000000000003,1.2006664815842907
400,4.36,1.195993311018084
410,4.360000000000003,1.1697863052711808
429,4.3900000000000015,1.1737120600896969
450,4.52,1.2081390648431165
471,4.5699999999999985,1.0590561835898982
493,4.609999999999996,1.2362847568420472
500,4.56,1.2191800523302538
517,4.610000000000005,1.1881077392223318
541,4.810000000000003,1.1007270324653609
567,4.850000000000005,1.1872657663724662
594,4.880000000000002,1.244025723206719
600,4.9,1.2369316876852983
622,4.960000000000001,1.351887569289695
651,5.030000000000004,1.3146862743635834
682,5.020000000000005,1.2705904139414872
700,5.04,1.232233744059949
714,5.060000000000007,1.1489125293076052
748,5.080000000000004,1.1516944039110375
784,5.099999999999997,1.206813987323647
800,5.06,1.255547689257561
821,5.129999999999995,1.3207573584879249
860,5.040000000000004,1.2768711759609892
900,5.12,1.274990196040738
901,5.1300000000000034,1.2650691680694774
943,5.1699999999999955,1.2806248474865702
988,5.2600000000000025,1.4698299221338504
1000,5.24,1.4907716122867378
1035,5.290000000000004,1.3676256797823003
1084,5.339999999999998,1.4925146565444507
1100,5.44,1.5252540771950098
1135,5.330000000000002,1.3629380029920655
1189,5.390000000000007,1.3862178760930766
1200,5.44,1.416474496770062
1245,5.530000000000005,1.4069825869569244
1300,5.6,1.536229149573722
1304,5.600000000000003,1.5844241856270687
1366,5.899999999999999,1.5383107618423526
1400,5.96,1.6728418933061184
1431,5.989999999999998,1.6031219541881396
1499,6.069999999999996,1.5021318184500323
1500,6.1,1.4594519519326423
1570,6.000000000000005,1.4456832294800963
1600,5.94,1.4616429112474771
1644,6.000000000000001,1.3879481258317978
1700,5.82,1.3518875692896948
1722,5.679999999999998,1.3000000000000003
1800,5.86,1.4423591785682228
1804,5.860000000000003,1.4730919862656238
1889,5.930000000000007,1.7051686133634991
1900,6.0,1.6613247725836149
1979,5.850000000000002,1.6094719630984564
2000,5.82,1.5708596372687147
2072,5.819999999999998,1.6396341055247663
2100,5.76,1.6316862443496911
2171,5.7899999999999965,1.5264337522473748
2200,5.8,1.4422205101855958
2273,5.8900000000000015,1.4951922953252534
2300,5.94,1.4199999999999997
2381,6.009999999999999,1.5451860729374955
2400,6.06,1.5153877391611692
2494,6.1400000000000015,1.5979987484350542
2500,6.12,1.6203703280423274
2600,6.12,1.4647866738880444
2612,6.099999999999997,1.5005332385522157
2700,5.94,1.5544774041458438
2736,6.019999999999993,1.66
2800,6.0,1.6733200530681511
2866,5.999999999999999,1.704230031421815
2900,5.94,1.6900887550658399
3000,6.12,1.7162750362339945
3001,6.110000000000003,1.7162750362339938
3100,5.98,1.5164432069813893
3144,6.120000000000001,1.687127736717052
3200,5.96,1.6965848048358796
