n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9799999999999991,8.881784197001252e-16
3,1.0099999999999993,0.19595917942265428
4,1.0800000000000007,0.3249615361854384
5,1.070000000000001,0.3249615361854383
6,1.0599999999999994,0.32496153618543855
7,1.13,0.4
8,1.200000000000001,0.44899888641287267
9,1.2299999999999984,0.4664761515876242
10,1.3199999999999992,0.4935585071701226
11,1.4300000000000004,0.49839743177508444
12,1.4800000000000002,0.48989794855663565
13,1.55,0.5075431016179809
14,1.6399999999999997,0.46000000000000013
15,1.6899999999999995,0.417612260356422
16,1.700000000000002,0.4476605857119876
17,1.7299999999999989,0.412310562561766
18,1.7199999999999982,0.41231056256176585
19,1.750000000000001,0.3693237062523876
20,1.7399999999999987,0.369323706252388
21,1.7700000000000011,0.31559467676119
22,1.760000000000001,0.31559467676118996
23,1.79,0.37363083384538803
24,1.8400000000000007,0.33704599092705434
25,1.85,0.3605551275463989
26,1.9599999999999986,0.4142463035441596
28,1.9999999999999991,0.4489988864128729
29,2.069999999999998,0.48000000000000004
30,2.080000000000002,0.48538644398046393
32,2.1400000000000023,0.5370288632839021
33,2.1700000000000013,0.6082762530298219
35,2.1900000000000017,0.6390618123468184
36,2.2,0.6974238309665078
38,2.2600000000000016,0.6858571279792898
40,2.379999999999998,0.7560423268574318
42,2.4799999999999986,0.7549834435270752
44,2.600000000000001,0.7199999999999999
46,2.6600000000000024,0.6823488843692793
48,2.6599999999999993,0.6636264009214824
51,2.709999999999999,0.7011419257183243
53,2.7299999999999995,0.715821206726931
56,2.739999999999999,0.7000000000000001
58,2.76,0.6814690014960331
61,2.8299999999999987,0.7255342858886821
64,2.8800000000000017,0.7547184905645286
67,2.8900000000000006,0.7525955088890713
70,2.96,0.764460594144656
74,3.04,0.782048591840686
77,3.1499999999999995,0.7704544113703289
81,3.2499999999999982,0.7592101158440918
85,3.2700000000000027,0.7909487973314081
89,3.2700000000000027,0.7838367176906172
93,3.389999999999996,0.8588364221433559
97,3.4500000000000006,0.8506468127254698
100,3.44,0.8522910301065004
102,3.4999999999999982,0.8541662601625051
107,3.470000000000004,0.8534635317340747
112,3.499999999999998,0.845931439302264
117,3.570000000000003,0.8199999999999998
123,3.650000000000002,0.8158431221748451
128,3.7399999999999993,0.8121576201698778
135,3.7900000000000036,0.7485986908885162
141,3.910000000000003,0.76
148,4.000000000000003,0.6705221845696082
155,3.969999999999997,0.6079473661428265
162,3.9599999999999973,0.6029925372672535
170,4.020000000000003,0.6337191807101945
178,4.159999999999999,0.759210115844092
186,4.2599999999999945,0.8400000000000001
195,4.350000000000003,0.7549834435270752
200,4.4,0.7483314773547881
204,4.420000000000002,0.7800000000000001
214,4.440000000000005,0.7769169839822008
224,4.479999999999997,0.8494704232638122
235,4.590000000000004,0.8811356308764275
246,4.799999999999998,0.9123595782365633
258,4.959999999999995,1.0239140588936164
270,5.000000000000004,1.0816653826391969
283,5.0499999999999945,1.0514751542475933
296,5.139999999999998,0.9848857801796099
300,5.14,1.0001999800039987
310,5.180000000000003,0.9173875952943772
325,5.29,1.0239140588936164
340,5.619999999999999,1.0097524449091468
357,5.690000000000005,0.9961927524329826
373,5.770000000000001,1.0049875621120892
391,5.849999999999999,1.03072789813801
400,5.8,1.0392304845413263
410,5.88,1.0675204916066012
429,6.0299999999999985,1.0665833300778704
450,6.08,1.342981757135963
471,6.290000000000001,1.2165525060596438
493,6.589999999999995,1.1702991070662234
500,6.56,1.1859173664298874
517,6.570000000000001,1.2776541002947552
541,6.609999999999997,1.288254633215033
567,6.87,1.2839003076563231
594,7.060000000000001,1.1313708498984756
600,7.12,1.0888526071052957
622,7.1799999999999935,1.216552506059644
651,7.3300000000000045,1.301691207621838
682,7.480000000000006,1.539480431834065
700,7.52,1.499866660740214
714,7.560000000000009,1.4999999999999993
748,7.739999999999997,1.4736349615830915
784,7.960000000000007,1.4832396974191326
800,8.04,1.4416657032752074
821,8.070000000000004,1.510496607079937
860,8.199999999999994,1.4422205101855956
900,8.26,1.5074481748969015
901,8.290000000000006,1.4866068747318504
943,8.449999999999994,1.4232357499725754
988,8.640000000000004,1.5131424255502188
1000,8.66,1.531143363633856
1035,8.849999999999993,1.50996688705415
1084,9.100000000000009,1.347738847106516
1100,9.18,1.2757742747053644
1135,9.389999999999992,1.411523999087511
1189,9.57000000000001,1.5389606882568512
1200,9.58,1.4709180806557511
1245,9.830000000000007,1.4702380759591285
1300,9.94,1.4887578715157144
1304,9.979999999999993,1.4898322053170956
1366,10.119999999999989,1.5657586020839869
1400,10.18,1.7051686133634991
1431,10.25,1.7338973441354597
1499,10.789999999999996,1.7808986495586996
1500,10.8,1.8000000000000005
1570,10.940000000000005,1.9875613198087756
1600,11.12,1.89356806056714
1644,11.359999999999996,2.0099751242241775
1700,11.46,1.8569868066305695
1722,11.579999999999986,1.854723699099141
1800,11.88,1.9762590923257002
1804,11.86,1.972308292331602
1889,12.39000000000001,2.078845833629806
1900,12.44,2.174028518672191
1979,12.67,2.0804807136813355
2000,12.68,1.9843386807699934
2072,12.779999999999983,2.1563858652847827
2100,12.84,2.1105449533236675
2171,13.109999999999998,2.2243201208459187
2200,13.14,2.2716513817045074
2273,13.149999999999991,2.0458738964071075
2300,13.16,2.0234623791906783
2381,13.190000000000014,2.1354156504062622
2400,13.22,2.0908371529126795
2494,13.639999999999986,2.367192429862854
2500,13.64,2.3559286916203557
2600,13.92,2.6064535292231863
2612,13.959999999999997,2.644541548170495
2700,14.16,2.532666578924277
2736,14.139999999999988,2.586503431275512
2800,14.2,2.4494897427831788
2866,14.42,2.4481829996958977
2900,14.42,2.4664954895559816
3000,14.56,2.646960521050513
3001,14.550000000000006,2.6469605210505125
3100,14.7,2.7073972741361767
3144,14.739999999999984,2.650962089506373
3200,14.92,2.7337885799746844
3292,15.020000000000005,2.633704615176122
3300,15.1,2.6551836094703507
3400,15.24,2.963511430718633
